DATE,USDEUR,USDJPY,USDGBP,USDCHF,USDAUD,USDCAD,USDNZD,USDSEK,USDSGD,USDNOK
2000-03-16,-0.00144,-0.00047,-0.00108,0.00151,0.00294,-0.00299,0.00143,-0.00029,0.00175,0.00131
2000-03-17,0.00165,-0.00444,0.00267,-0.00163,0.00657,-0.00027,0.00679,0.00323,-0.00239,-0.0003
2000-03-20,-0.00165,-0.00376,0.00121,0.0009,0.00033,0.0017,0.00207,0.00272,-0.00227,-0.00149
2000-03-21,0.00072,-0.00384,-0.00248,-0.0006,-0.00575,0.00279,-0.01397,-0.00087,0.0007,-0.00095
2000-03-22,0.00984,0.00131,0.00127,-0.00809,0.00724,-0.00395,0.00552,-0.00703,0.00367,-0.00438
2000-03-23,-0.0086,-0.00635,-0.00793,0.01371,0.00248,-0.00048,0.00021,0.00761,0.00058,0.00926
2000-03-24,-0.0034,0.00186,-0.00504,0.01151,-0.0038,0.00524,-0.00164,0.00784,-0.00263,0.00514
2000-03-27,0.00816,0.00112,0.00346,-0.00823,-0.00821,0.00308,-0.00998,-0.00801,0.0,-0.00728
2000-03-28,0.00322,0.01155,-0.00107,-0.00503,-0.00441,0.00439,-0.01868,0.00918,0.00058,0.00191
2000-03-29,0.00941,0.00284,0.00013,-0.01046,0.00277,-0.00096,0.00199,-0.0116,-0.00105,-0.00713
2000-03-30,-0.00732,0.00066,-0.00327,0.0072,-0.00016,-0.00014,0.005,0.00399,-0.00151,0.00534
2000-03-31,0.00209,0.02689,0.0,-0.0015,0.01034,0.00131,0.00603,-0.00023,0.00431,-0.00356
2000-04-03,0.00146,-0.02014,-0.00364,0.00259,-0.00181,-0.00069,-0.00763,-0.00497,-0.00309,-0.00343
2000-04-04,-0.00292,-0.00485,0.00094,0.00526,0.00677,0.00117,-0.0018,-0.0015,-0.00058,-0.00307
2000-04-05,-0.00613,0.00314,0.00408,0.01036,-0.00348,-0.00117,-0.00518,0.00791,0.00134,0.00561
2000-04-06,0.00697,0.0021,0.00631,-0.00367,0.00613,0.00227,0.00458,-0.00446,0.00058,-0.00396
2000-04-07,-0.00104,-0.00524,-0.0019,0.00043,0.00216,-0.00406,0.0014,0.0022,-0.0007,-0.00071
2000-04-10,0.00021,-0.00983,0.00013,-0.00317,0.002,-0.00281,0.0036,0.00371,-0.00163,-0.00236
2000-04-11,-0.00031,-0.00544,-0.00284,0.00122,0.00569,-0.00137,0.0002,-0.00278,-0.00058,-0.00282
2000-04-12,0.00418,0.01024,-0.00057,-0.00456,-0.00218,0.00082,0.00181,-0.00784,0.00041,-0.00082
2000-04-13,0.00283,0.00095,6e-05,-0.00182,0.00117,-0.0026,-0.0006,-0.00241,0.00192,-0.00152
2000-04-14,-0.00419,0.00607,0.00132,0.0068,-0.00151,-0.0072,0.0004,0.00264,0.00479,0.00029
2000-04-17,0.00146,0.00889,0.00044,-0.00195,0.00993,-0.00594,0.00625,-0.0023,0.00053,-0.00508
2000-04-18,0.00767,-0.00383,0.00563,-0.00987,-0.00557,0.00121,-0.00162,-0.00275,0.00464,-0.00511
2000-04-19,0.01146,-0.00334,-0.00082,-0.00911,-0.00185,0.00514,-0.00644,-0.00616,-0.00012,-0.00957
2000-04-20,-0.00075,-0.00485,-0.00152,-0.00101,0.00437,0.00244,0.00705,-0.00023,0.00082,0.00247
2000-04-21,-0.00032,-0.00407,0.00101,0.00072,0.00101,-0.0017,0.00303,0.00159,-0.00071,0.00178
2000-04-24,-0.00181,0.00208,-0.00095,0.00287,-0.00337,-0.00088,-0.00223,0.00068,-0.00176,0.00046
2000-04-25,0.01404,-0.00047,0.00082,-0.0162,-0.00185,0.00434,-0.00182,-0.00772,-0.00117,-0.01522
2000-04-26,0.00519,-0.00707,-0.00051,-0.00587,0.01114,-0.00401,0.01833,-0.00417,-0.00088,-0.00244
2000-04-27,0.01465,0.00094,0.00298,-0.01308,0.00255,-0.0023,0.00144,-0.01072,-0.00088,-0.01621
2000-04-28,-0.00066,-0.01512,0.01201,0.00347,0.00649,-0.00176,0.00062,0.00154,0.00029,0.00143
2000-05-01,-0.0034,-0.00839,0.00013,0.00669,0.00636,0.00236,0.00413,0.00545,-0.00146,0.00605
2000-05-02,0.00572,0.00239,-0.00205,-0.00291,-0.00978,-0.00499,-0.00495,-0.00254,-0.00514,-0.00543
2000-05-03,0.01971,-0.00468,-0.00096,-0.01065,-0.00731,-0.00443,-0.00636,-0.0151,-0.00215,-0.01304
2000-05-04,-0.0018,0.00893,0.01095,0.00092,-0.00237,-0.00381,-0.00367,-0.00297,-0.00029,-0.00341
2000-05-05,-0.00515,-0.00332,0.00957,0.00173,-0.00354,0.0,0.00306,0.00011,-0.00012,-0.00044
2000-05-08,0.00034,-0.0046,-0.00144,0.00104,0.01101,0.00354,0.00945,0.00088,-0.00075,0.00143
2000-05-09,-0.00812,-0.00531,-0.00033,0.00498,0.00718,-0.00121,0.01183,0.00394,-0.00348,0.00463
2000-05-10,-0.00817,0.00256,0.01063,0.00402,0.00223,-0.00067,0.00314,0.00019,0.00029,0.00066
2000-05-11,0.00839,0.0079,0.01035,-0.00593,0.00431,0.00368,-0.00042,-0.01125,0.00156,-0.01034
2000-05-12,-0.00652,-0.00249,-0.0116,0.00943,-0.00345,0.00188,-0.00376,0.00745,-0.00087,0.01405
2000-05-15,-0.00637,-0.00678,0.00641,0.00334,0.0123,-0.00168,0.01133,0.00319,-0.00329,0.0054
2000-05-16,0.00935,-0.00246,0.00445,-0.00696,-0.00591,0.00235,0.00232,-0.0044,0.00058,-0.00972
2000-05-17,0.01469,0.00201,0.00689,-0.01424,0.01536,-0.00871,0.0257,-0.01071,-0.00087,-0.01115
2000-05-18,-0.00347,0.00761,0.00585,0.00121,-0.00316,-0.001,0.01817,0.00749,0.0,0.00284
2000-05-19,0.00067,0.01679,-0.00249,0.00173,-0.00437,0.00294,-0.00836,-0.00276,0.00376,-0.00126
2000-05-22,-0.01001,-0.00122,-0.00349,0.00938,-0.00209,-0.00134,-0.00611,-0.00702,-0.00243,0.00225
2000-05-23,0.00044,0.00281,0.01208,-0.00638,-0.00122,-0.00353,0.00131,0.0013,-0.0019,-0.00394
2000-05-24,-0.00706,-0.00803,-0.00183,0.00504,0.00593,-0.00325,0.0103,0.00381,-0.00115,0.00597
2000-05-25,0.00264,0.00093,0.00339,-0.00012,0.00228,0.00186,-0.00571,0.00109,0.00242,-0.00082
2000-05-26,-0.0259,0.0028,-0.01149,0.02245,-0.0028,0.0008,-0.00415,0.01706,-0.00087,0.02075
2000-05-30,-0.00043,0.00693,-0.00503,-0.00338,-0.00906,0.0006,-0.00348,0.00089,0.00063,-0.00313
2000-05-31,-0.0015,-0.01214,-0.0012,0.00012,0.01046,0.00393,0.00632,0.00167,-0.00075,0.00235
2000-06-01,0.00225,-0.00924,0.00355,0.0003,-0.00227,0.00448,0.00241,0.00212,0.00144,-0.00157
2000-06-02,-0.01334,0.00544,-0.01094,0.0118,-0.01199,0.00842,-0.02233,0.01613,0.00463,0.0147
2000-06-05,-0.00413,0.00659,-0.00371,0.003,-0.00379,0.00041,-0.00236,0.00221,0.00203,0.00689
2000-06-06,-0.0104,0.0169,-0.00659,0.0121,-0.01282,-7e-05,-0.01339,0.01073,0.0,0.00999
2000-06-07,-0.00313,0.00133,0.00066,0.00396,-0.00221,-0.00034,0.00381,0.00633,-0.00087,0.00354
2000-06-08,0.00543,-0.00341,0.0109,-0.00275,0.00374,-0.00101,0.00744,-0.01171,0.00087,-0.00723
2000-06-09,0.00231,-0.00865,-0.00126,-0.00201,0.00238,0.00237,0.00107,0.00149,-0.00145,-0.00436
2000-06-12,-0.00189,0.00122,-0.00272,0.00531,-0.00815,0.0,-0.00575,0.00619,0.00029,0.00471
2000-06-13,-0.00783,-0.00131,-0.00066,0.00619,-0.01027,0.00462,-0.00276,0.00913,0.0007,0.00745
2000-06-14,0.00302,-0.00094,0.0071,-0.00387,-0.00568,0.00014,-0.00781,0.00922,-0.00012,0.00622
2000-06-15,0.00628,0.00347,-0.00531,-0.00416,-0.00133,-0.00428,0.01418,-0.01072,-0.00174,-0.00732
2000-06-16,-0.01231,0.00282,-0.0041,0.01278,-0.01124,0.00339,-0.02005,0.00273,-0.00075,0.00703
2000-06-19,0.0027,0.00453,0.00073,-0.00321,0.00975,0.00347,0.01156,-0.00215,-0.0037,-0.00052
2000-06-20,0.00678,0.00303,0.00357,-0.00308,-0.00216,-0.00347,-0.00443,-0.00261,-0.00046,-0.00494
2000-06-21,0.01073,-0.00076,0.00865,-0.00673,0.00182,-0.00143,-0.00021,-0.00881,-0.00058,-0.00895
2000-06-22,0.00605,0.01048,-0.00931,-0.00396,0.00549,0.00027,0.00506,-0.00982,-0.00029,-0.00436
2000-06-23,0.00427,-0.00182,0.00664,-0.00666,0.00485,-0.00461,0.00275,-0.0051,0.00115,-0.00011
2000-06-26,-0.00256,-0.01018,0.00133,0.00333,-0.00017,-0.0025,0.00425,-0.00462,-0.00092,-0.00217
2000-06-27,-0.00659,0.00123,-0.00067,0.00797,-0.00785,0.00034,-0.00531,0.00208,-0.00012,0.00725
2000-06-28,0.0,0.00019,-0.00711,-0.0025,-0.00183,-0.00088,0.01494,0.00096,-0.0004,0.00492
2000-06-29,-0.00749,0.00399,-0.00574,0.00274,-0.001,0.00121,-0.00899,0.00475,0.00029,0.00719
2000-06-30,-0.00315,-0.00994,0.00422,0.00355,0.00967,0.00149,0.00043,0.00011,0.00404,0.00105
2000-07-03,0.00199,0.00472,-0.00033,-0.00037,-0.00418,0.00034,0.0032,0.00324,-0.00301,-0.00082
2000-07-05,-0.00231,-0.01195,0.00099,0.00633,0.01495,-0.00781,0.01444,-0.00426,-0.00305,0.0
2000-07-06,0.0022,-0.00429,0.0,-0.00185,-0.00034,0.00397,0.00065,-0.00407,0.00075,-0.0014
2000-07-07,0.00452,-0.00409,-0.00152,-0.00172,0.00135,0.0027,0.0,-0.00551,-0.00017,0.00087
2000-07-10,-0.00389,0.00661,0.0004,0.00018,-0.00186,0.00081,-0.0013,0.00331,-0.00086,0.00116
2000-07-11,0.00252,0.00159,-0.0002,-0.00368,0.00356,0.00088,0.00304,-0.00057,-0.00287,-0.00311
2000-07-12,0.01016,-0.01328,0.00477,-0.01066,0.00017,-0.00203,0.00044,-0.00021,0.0,-0.00738
2000-07-13,0.00662,0.00083,0.00519,-0.00592,0.00596,0.00041,-0.00044,-0.00544,0.0,-0.00644
2000-07-14,-0.00374,0.00361,0.0,0.00459,0.00137,-0.00243,-0.00326,0.00482,0.00017,0.00356
2000-07-17,0.00246,-0.00601,0.00468,-0.0026,-0.00137,0.00216,0.00718,-0.00784,-0.00264,-0.00596
2000-07-18,0.00311,0.00212,-0.00167,-0.00199,0.00188,0.00203,0.00066,-0.00356,0.00074,-0.00456
2000-07-19,0.00916,0.00092,0.0002,-0.01036,0.01622,0.00169,0.0079,-0.00896,0.00029,-0.00725
2000-07-20,-0.00594,0.00287,-0.01012,0.00604,-0.01141,0.00068,-0.01508,0.00674,0.00011,0.00498
2000-07-21,-0.00547,-0.01097,-0.00482,0.00252,-0.00839,0.00224,-0.00455,0.00261,-0.00126,0.00449
2000-07-24,0.00311,0.00147,0.00178,-0.00372,0.00085,0.00518,0.00715,0.00156,0.00189,-0.00154
2000-07-25,-0.00823,-0.00348,-0.0033,0.01035,0.00188,-0.00096,0.0,0.0043,-0.00046,0.00737
2000-07-26,-0.00234,0.00018,0.00237,0.00212,-0.00936,-0.00082,-0.00217,-0.00022,0.00155,0.00166
2000-07-27,0.00875,0.00119,0.00251,-0.00677,0.0022,-0.00327,0.005,-0.0169,0.00472,-0.01165
2000-07-28,0.00915,-0.00439,0.00604,-0.00887,0.00323,-0.00427,0.0024,-0.00674,-0.00023,-0.00544
2000-07-31,-0.00216,-0.00046,0.0028,0.00383,0.01458,-0.00701,0.00724,-0.00131,0.00046,-0.00102
2000-08-01,0.00411,0.00192,-0.0006,-0.00413,-0.00311,-0.00081,-0.00132,-0.00489,0.00127,-0.00237
2000-08-02,0.00991,0.00641,0.00441,-0.00767,-0.0043,0.00532,0.00088,-0.00455,0.00289,-0.00807
2000-08-03,0.01045,0.00378,-0.00141,-0.01177,-0.0024,-0.00209,-0.00132,-0.00817,0.00127,-0.00612
2000-08-04,-0.00364,-0.00166,-0.00501,0.00199,0.00206,-0.00303,0.00066,0.00958,0.00192,0.01206
2000-08-07,-0.0033,-0.00414,-0.00319,0.00282,-0.00513,0.00094,0.00066,0.00689,-0.00307,0.00112
