Combination,In-Sample,Out-of-Sample
USDCHF_USDNOK,0.5413518052057095,0.5209731543624161
USDAUD_USDCAD,0.5388329135180521,0.5302013422818792
USDAUD_USDNZD,0.5363140218303947,0.5343959731543624
USDAUD_USDSEK,0.5384130982367759,0.5218120805369127
USDAUD_USDSGD,0.5400923593618808,0.5226510067114094
USDAUD_USDNOK,0.5384130982367759,0.5251677852348994
USDCAD_USDNZD,0.5379932829554995,0.5226510067114094
USDCAD_USDSEK,0.5379932829554995,0.5058724832214765
USDCAD_USDSGD,0.5424013434089001,0.514261744966443
USDCAD_USDNOK,0.5388329135180521,0.5033557046979866
USDNZD_USDSEK,0.5457598656591099,0.5218120805369127
USDNZD_USDSGD,0.542191435768262,0.5134228187919463
USDNZD_USDNOK,0.542191435768262,0.4773489932885906
USDSEK_USDSGD,0.5367338371116709,0.5260067114093959
USDSEK_USDNOK,0.5407220822837951,0.5260067114093959
USDSGD_USDNOK,0.5394626364399664,0.5201342281879194
USDEUR_USDJPY_USDGBP,0.5468094038623006,0.5234899328859061
USDEUR_USDJPY_USDCHF,0.547649034424853,0.5251677852348994
USDEUR_USDJPY_USDAUD,0.5499580184718724,0.5176174496644296
USDEUR_USDJPY_USDCAD,0.5522670025188917,0.5092281879194631
USDEUR_USDJPY_USDNZD,0.554575986565911,0.49328859060402686
USDEUR_USDJPY_USDSEK,0.5459697732997482,0.5151006711409396
USDEUR_USDJPY_USDSGD,0.5478589420654912,0.5083892617449665
USDEUR_USDJPY_USDNOK,0.5459697732997482,0.5201342281879194
USDEUR_USDGBP_USDCHF,0.5489084802686818,0.5293624161073825
USDEUR_USDGBP_USDAUD,0.5497481108312342,0.5234899328859061
USDEUR_USDGBP_USDCAD,0.5541561712846348,0.49580536912751677
USDEUR_USDGBP_USDNZD,0.5541561712846348,0.5016778523489933
USDEUR_USDGBP_USDSEK,0.5499580184718724,0.5209731543624161
USDEUR_USDGBP_USDSGD,0.5486985726280437,0.5167785234899329
USDEUR_USDGBP_USDNOK,0.5478589420654912,0.5100671140939598
USDEUR_USDCHF_USDAUD,0.5449202350965575,0.5285234899328859
USDEUR_USDCHF_USDCAD,0.5484886649874056,0.5151006711409396
USDEUR_USDCHF_USDNZD,0.5459697732997482,0.5268456375838926
USDEUR_USDCHF_USDSEK,0.5453400503778337,0.5276845637583892
USDEUR_USDCHF_USDSGD,0.5465994962216625,0.5184563758389261
USDEUR_USDCHF_USDNOK,0.5447103274559194,0.5268456375838926
USDEUR_USDAUD_USDCAD,0.5478589420654912,0.5176174496644296
USDEUR_USDAUD_USDNZD,0.5478589420654912,0.5268456375838926
USDEUR_USDAUD_USDSEK,0.5442905121746432,0.5251677852348994
USDEUR_USDAUD_USDSGD,0.5457598656591099,0.5201342281879194
USDEUR_USDAUD_USDNOK,0.5428211586901763,0.5218120805369127
USDEUR_USDCAD_USDNZD,0.5497481108312342,0.5159395973154363
USDEUR_USDCAD_USDSEK,0.5438706968933669,0.5192953020134228
USDEUR_USDCAD_USDSGD,0.5524769101595298,0.5134228187919463
USDEUR_USDCAD_USDNOK,0.5447103274559194,0.5192953020134228
USDEUR_USDNZD_USDSEK,0.5484886649874056,0.5192953020134228
USDEUR_USDNZD_USDSGD,0.5512174643157011,0.5159395973154363
USDEUR_USDNZD_USDNOK,0.5497481108312342,0.5218120805369127
USDEUR_USDSEK_USDSGD,0.5459697732997482,0.5234899328859061
USDEUR_USDSEK_USDNOK,0.5451301427371956,0.5209731543624161
USDEUR_USDSGD_USDNOK,0.5430310663308144,0.5243288590604027
USDJPY_USDGBP_USDCHF,0.5445004198152813,0.5310402684563759
USDJPY_USDGBP_USDAUD,0.5468094038623006,0.511744966442953
USDJPY_USDGBP_USDCAD,0.5497481108312342,0.4748322147651007
USDJPY_USDGBP_USDNZD,0.5499580184718724,0.48070469798657717
USDJPY_USDGBP_USDSEK,0.551007556675063,0.511744966442953
USDJPY_USDGBP_USDSGD,0.5472292191435768,0.511744966442953
USDJPY_USDGBP_USDNOK,0.549328295549958,0.4748322147651007
USDJPY_USDCHF_USDAUD,0.5468094038623006,0.5243288590604027
USDJPY_USDCHF_USDCAD,0.5470193115029387,0.514261744966443
USDJPY_USDCHF_USDNZD,0.5552057094878253,0.5
USDJPY_USDCHF_USDSEK,0.5482787573467675,0.514261744966443
USDJPY_USDCHF_USDSGD,0.5428211586901763,0.5209731543624161
USDJPY_USDCHF_USDNOK,0.5438706968933669,0.5268456375838926
USDJPY_USDAUD_USDCAD,0.5491183879093199,0.5
USDJPY_USDAUD_USDNZD,0.5520570948782536,0.49328859060402686
USDJPY_USDAUD_USDSEK,0.5507976490344249,0.5109060402684564
USDJPY_USDAUD_USDSGD,0.551007556675063,0.5125838926174496
USDJPY_USDAUD_USDNOK,0.5453400503778337,0.5134228187919463
USDJPY_USDCAD_USDNZD,0.5495382031905961,0.48322147651006714
USDJPY_USDCAD_USDSEK,0.5491183879093199,0.4983221476510067
USDJPY_USDCAD_USDSGD,0.5505877413937867,0.5100671140939598
USDJPY_USDCAD_USDNOK,0.5453400503778337,0.4966442953020134
USDJPY_USDNZD_USDSEK,0.5615029387069689,0.5033557046979866
USDJPY_USDNZD_USDSGD,0.5524769101595298,0.4874161073825503
USDJPY_USDNZD_USDNOK,0.5518471872376155,0.4664429530201342
USDJPY_USDSEK_USDSGD,0.5495382031905961,0.5184563758389261
USDJPY_USDSEK_USDNOK,0.5457598656591099,0.5134228187919463
USDJPY_USDSGD_USDNOK,0.5489084802686818,0.514261744966443
USDGBP_USDCHF_USDAUD,0.5457598656591099,0.5260067114093959
USDGBP_USDCHF_USDCAD,0.5499580184718724,0.5016778523489933
USDGBP_USDCHF_USDNZD,0.5482787573467675,0.5234899328859061
USDGBP_USDCHF_USDSEK,0.5484886649874056,0.5167785234899329
USDGBP_USDCHF_USDSGD,0.5484886649874056,0.5243288590604027
USDGBP_USDCHF_USDNOK,0.5468094038623006,0.5192953020134228
USDGBP_USDAUD_USDCAD,0.5472292191435768,0.5268456375838926
USDGBP_USDAUD_USDNZD,0.5403022670025189,0.5218120805369127
USDGBP_USDAUD_USDSEK,0.5442905121746432,0.514261744966443
USDGBP_USDAUD_USDSGD,0.5415617128463476,0.5260067114093959
USDGBP_USDAUD_USDNOK,0.5430310663308144,0.5192953020134228
USDGBP_USDCAD_USDNZD,0.5497481108312342,0.4823825503355705
USDGBP_USDCAD_USDSEK,0.5455499580184718,0.4941275167785235
USDGBP_USDCAD_USDSGD,0.5472292191435768,0.5067114093959731
USDGBP_USDCAD_USDNOK,0.5497481108312342,0.4773489932885906
USDGBP_USDNZD_USDSEK,0.5486985726280437,0.4983221476510067
USDGBP_USDNZD_USDSGD,0.5442905121746432,0.5134228187919463
USDGBP_USDNZD_USDNOK,0.5522670025188917,0.46560402684563756
USDGBP_USDSEK_USDSGD,0.5457598656591099,0.5151006711409396
USDGBP_USDSEK_USDNOK,0.5457598656591099,0.48322147651006714
USDGBP_USDSGD_USDNOK,0.5470193115029387,0.5083892617449665
USDCHF_USDAUD_USDCAD,0.5480688497061293,0.5251677852348994
USDCHF_USDAUD_USDNZD,0.5436607892527288,0.5302013422818792
USDCHF_USDAUD_USDSEK,0.5445004198152813,0.5293624161073825
USDCHF_USDAUD_USDSGD,0.5449202350965575,0.5251677852348994
USDCHF_USDAUD_USDNOK,0.5447103274559194,0.5268456375838926
USDCHF_USDCAD_USDNZD,0.5463895885810244,0.5167785234899329
USDCHF_USDCAD_USDSEK,0.5470193115029387,0.5209731543624161
USDCHF_USDCAD_USDSGD,0.5497481108312342,0.5109060402684564
USDCHF_USDCAD_USDNOK,0.5472292191435768,0.5209731543624161
USDCHF_USDNZD_USDSEK,0.5457598656591099,0.5176174496644296
USDCHF_USDNZD_USDSGD,0.5463895885810244,0.5201342281879194
USDCHF_USDNZD_USDNOK,0.5495382031905961,0.5201342281879194
USDCHF_USDSEK_USDSGD,0.5461796809403863,0.5218120805369127
USDCHF_USDSEK_USDNOK,0.5432409739714525,0.5234899328859061
USDCHF_USDSGD_USDNOK,0.5463895885810244,0.511744966442953
USDAUD_USDCAD_USDNZD,0.5407220822837951,0.5302013422818792
USDAUD_USDCAD_USDSEK,0.5432409739714525,0.5192953020134228
USDAUD_USDCAD_USDSGD,0.5447103274559194,0.5209731543624161
USDAUD_USDCAD_USDNOK,0.5396725440806045,0.5201342281879194
USDAUD_USDNZD_USDSEK,0.5447103274559194,0.5234899328859061
USDAUD_USDNZD_USDSGD,0.542191435768262,0.5192953020134228
USDAUD_USDNZD_USDNOK,0.5484886649874056,0.5016778523489933
USDAUD_USDSEK_USDSGD,0.5407220822837951,0.5159395973154363
USDAUD_USDSEK_USDNOK,0.5413518052057095,0.5176174496644296
USDAUD_USDSGD_USDNOK,0.5426112510495382,0.5234899328859061
USDCAD_USDNZD_USDSEK,0.5472292191435768,0.5201342281879194
USDCAD_USDNZD_USDSGD,0.5474391267842149,0.514261744966443
USDCAD_USDNZD_USDNOK,0.5453400503778337,0.4798657718120805
USDCAD_USDSEK_USDSGD,0.5440806045340051,0.5100671140939598
USDCAD_USDSEK_USDNOK,0.5419815281276238,0.5033557046979866
USDCAD_USDSGD_USDNOK,0.5457598656591099,0.5159395973154363
USDNZD_USDSEK_USDSGD,0.5463895885810244,0.5192953020134228
USDNZD_USDSEK_USDNOK,0.5453400503778337,0.5176174496644296
USDNZD_USDSGD_USDNOK,0.5465994962216625,0.514261744966443
USDSEK_USDSGD_USDNOK,0.5432409739714525,0.5184563758389261
USDEUR_USDJPY_USDGBP_USDCHF,0.5539462636439967,0.5276845637583892
